('e', 'a', 'l', 'l') 1323
('e', 'a', 'l', 'd') 1239
('s', 'c', 'e', 'a') 1171
('e', 'n', 'd', 'e') 1141
('w', 'e', 'o', 'r') 1123
('o', 'n', 'n', 'e') 1071
('r', 'i', 'h', 't') 1070
('e', 'a', 'r', 'd') 1024
('i', 'h', 't', 'e') 925
('o', 'f', 'e', 'r') 874
('e', 'o', 'r', 'ð') 851
('h', 't', 'e', 'n') 832
('þ', 'o', 'n', 'n') 829
('w', 'e', 'a', 'r') 828
('d', 'r', 'i', 'h') 812
('a', 'l', 'l', 'e') 764
('a', 'l', 'd', 'e') 763
('f', 'æ', 's', 't') 737
('w', 'y', 'l', 'c') 717
('w', 'o', 'r', 'd') 703
('u', 'n', 'd', 'e') 679
('þ', 'u', 'r', 'h') 647
('l', 'i', 'c', 'e') 642
('g', 'o', 'd', 'e') 598
('e', 'o', 'n', 'd') 594
('o', 'r', 'h', 't') 591
('o', 'l', 'd', 'e') 581
('n', 'i', 'n', 'g') 568
('m', 'i', 'h', 't') 563
('r', 'y', 'h', 't') 562
('c', 'e', 'a', 'l') 560
('h', 'e', 'o', 'f') 548
('h', 'e', 'o', 'r') 548
('y', 'n', 'i', 'n') 526
('b', 'e', 'o', 'r') 525
('e', 'o', 'f', 'o') 520
('w', 'e', 'a', 'l') 510
('g', 'e', 'h', 'w') 506
('o', 'd', 'e', 's') 500
('e', 'a', 'h', 't') 500
('e', 'a', 'r', 'n') 498
('b', 'e', 'a', 'r') 496
('d', 'r', 'y', 'h') 496
('c', 'y', 'n', 'i') 494
('o', 'r', 'ð', 'a') 489
('l', 'd', 'a', 'n') 484
('o', 'f', 'o', 'n') 483
('g', 'e', 'a', 'r') 477
('æ', 'f', 't', 'e') 477
('s', 't', 'a', 'n') 465
('f', 'o', 'r', 'ð') 462
('h', 'e', 'a', 'l') 455
('i', 'n', 'g', 'a') 454
('æ', 's', 't', 'e') 454
('h', 't', 'n', 'e') 450
('w', 'u', 'l', 'd') 446
('f', 'o', 'l', 'c') 445
('h', 'i', 'n', 'e') 442
('e', 'o', 'r', 'n') 442
('r', 'u', 'l', 'd') 442
('o', 'r', 'u', 'l') 441
('r', 'ð', 'a', 'n') 439
('f', 'e', 'o', 'r') 437
('g', 'e', 's', 'e') 426
('e', 'o', 'd', 'e') 423
('y', 'l', 'c', 'e') 422
('i', 'n', 'd', 'e') 415
('e', 't', 'e', 'r') 415
('w', 'o', 'r', 'u') 405
('e', 'o', 'r', 'h') 402
('g', 'e', 's', 'c') 401
