('e', ' ', ' ', ' ') 9406
('a', 'n', ' ', ' ') 6447
('n', ' ', ' ', ' ') 6352
(' ', ' ', ' ', 'þ') 4914
('d', 'e', ' ', ' ') 4512
(' ', 'o', 'n', ' ') 4395
('u', 'm', ' ', ' ') 3741
(' ', ' ', ' ', 'h') 3707
(' ', ' ', ' ', 's') 3620
('a', 'n', 'd', ' ') 3480
(' ', 'a', 'n', 'd') 3473
('þ', 'æ', 't', ' ') 3076
(' ', ' ', 'þ', 'æ') 3027
(' ', ' ', 'o', 'n') 3027
(' ', 'þ', 'æ', 't') 2997
(' ', ' ', ' ', ' ') 2676
('d', ' ', ' ', ' ') 2542
(' ', ' ', 'a', 'n') 2518
('o', 'n', 'd', ' ') 2484
('n', 'e', ' ', ' ') 2441
('o', 'n', ' ', ' ') 2411
('m', ' ', ' ', ' ') 2407
('e', ' ', 'g', 'e') 2378
(' ', ' ', ' ', 'w') 2259
('ð', ' ', ' ', ' ') 2219
(' ', ' ', ' ', 'a') 2218
(' ', 'o', 'n', 'd') 2205
(' ', 'f', 'o', 'r') 2173
(' ', 'þ', 'a', ' ') 2171
(' ', 'i', 'c', ' ') 2085
(' ', 'h', 'e', ' ') 1942
('t', 'e', ' ', ' ') 1939
('a', ' ', ' ', ' ') 1936
(' ', 'þ', 'e', ' ') 1933
('n', 'n', 'e', ' ') 1915
(' ', ' ', 'h', 'e') 1914
('s', ' ', ' ', ' ') 1898
(' ', ' ', ' ', 'n') 1889
(' ', 'n', 'e', ' ') 1869
(' ', ' ', ' ', 'f') 1864
('e', 'n', ' ', ' ') 1842
(' ', 't', 'o', ' ') 1831
(' ', 'e', 'a', 'l') 1826
('e', 's', ' ', ' ') 1761
(' ', ' ', 'e', 'a') 1710
(' ', ' ', ' ', 'o') 1698
(' ', ' ', ' ', 'g') 1678
('h', 'i', 'm', ' ') 1646
(' ', 'h', 'i', 'm') 1644
(' ', ' ', 's', 'w') 1593
('r', 'e', ' ', ' ') 1552
(' ', 'g', 'e', 's') 1522
(' ', ' ', 'g', 'e') 1520
('a', 'ð', ' ', ' ') 1492
('t', ' ', ' ', ' ') 1462
(' ', 'h', 'e', 'o') 1443
('d', 'a', 'n', ' ') 1388
(' ', 's', 'e', ' ') 1384
(' ', 'm', 'i', 'd') 1379
('g', 'e', ' ', ' ') 1378
('o', 'd', 'e', ' ') 1375
('c', 'e', ' ', ' ') 1360
(' ', 'g', 'o', 'd') 1353
(' ', 's', 'w', 'a') 1350
('t', 'a', 'n', ' ') 1346
('l', 'd', 'e', ' ') 1344
('d', 'u', 'm', ' ') 1339
('e', 'a', 'l', 'l') 1323
('e', 'ð', ' ', ' ') 1304
('s', 'w', 'a', ' ') 1301
(' ', ' ', 'þ', 'a') 1294
(' ', 'h', 'e', 'a') 1285
(' ', 'þ', 'o', 'n') 1284
(' ', ' ', 'f', 'o') 1280
('n', 'u', 'm', ' ') 1279
('g', 'a', 'n', ' ') 1279
('a', ' ', 'g', 'e') 1267
(' ', ' ', ' ', 'e') 1265
(' ', ' ', 'þ', 'e') 1263
('n', 'd', 'e', ' ') 1254
('e', 'a', 'l', 'd') 1239
('a', 's', ' ', ' ') 1236
(' ', 'w', 'o', 'r') 1236
(' ', 'w', 'æ', 's') 1234
(' ', ' ', 'n', 'e') 1231
('w', 'æ', 's', ' ') 1225
(' ', 'h', 'i', 's') 1203
('h', 'i', 's', ' ') 1203
('d', 'o', 'n', ' ') 1196
('s', 't', ' ', ' ') 1192
('m', 'i', 'd', ' ') 1185
('e', ' ', 'o', 'n') 1180
('s', 'c', 'e', 'a') 1171
(' ', ' ', 'w', 'i') 1171
(' ', 'm', 'e', ' ') 1170
(' ', ' ', ' ', 'b') 1158
(' ', 's', 'c', 'e') 1144
(' ', 'þ', 'æ', 'r') 1144
(' ', ' ', 'w', 'e') 1143
('e', 'n', 'd', 'e') 1141
('w', 'e', 'o', 'r') 1123
(' ', ' ', 's', 'e') 1119
('æ', 't', ' ', 'h') 1118
(' ', 'g', 'e', 'h') 1116
('l', 'e', ' ', ' ') 1111
('i', 'n', 'e', ' ') 1100
('n', 'e', 's', ' ') 1098
(' ', 'þ', 'i', 'n') 1097
('o', 'd', ' ', ' ') 1090
(' ', ' ', ' ', 'm') 1088
('h', 't', 'e', ' ') 1084
('o', 'n', 'n', 'e') 1071
('r', 'i', 'h', 't') 1070
('e', ' ', 'h', 'i') 1054
(' ', 'þ', 'u', ' ') 1053
(' ', 'g', 'e', 'w') 1049
('l', 'l', 'e', ' ') 1037
(' ', 'i', 'n', ' ') 1027
('e', 'a', 'r', 'd') 1024
('t', 'e', 'n', ' ') 1005
('d', 'e', 's', ' ') 994
(' ', 'm', 'i', 'n') 980
(' ', ' ', 'm', 'i') 970
('ð', 'a', 'n', ' ') 955
('g', ' ', ' ', ' ') 951
('r', 'a', 'n', ' ') 945
(' ', 'l', 'e', 'o') 927
('i', 'h', 't', 'e') 925
(' ', ' ', 'h', 'i') 919
(' ', 'e', 'o', 'r') 918
(' ', ' ', 'o', 'f') 903
('n', 'd', ' ', 'h') 897
