name, Text length 
a mother's fears.txt,3598
a prayer.txt,2800
a proverb from winfrid's time.txt,66
a summons to prayer.txt,993
aldhelm.txt,571
alms-giving.txt,317
an exhortation to christian living.txt,2878
andreas.txt,60668
azarias.txt,6832
bede's death song west saxon version.txt,163
beowulf.txt,111210
caedmon's hymn west saxon version.txt,301
christ a b c.txt,60170
christ and satan.txt,26236
daniel.txt,27572
deor.txt,1424
durham.txt,769
elene.txt,46561
exodus.txt,20155
fragments of psalms psalm 101.txt,167
fragments of psalms psalm 102.txt,842
fragments of psalms psalm 118.txt,390
fragments of psalms psalm 121.txt,145
fragments of psalms psalm 139.txt,130
fragments of psalms psalm 140.txt,179
fragments of psalms psalm 19.txt,174
fragments of psalms psalm 24.txt,819
fragments of psalms psalm 27.txt,251
fragments of psalms psalm 32.txt,151
fragments of psalms psalm 34.txt,517
fragments of psalms psalm 40.txt,199
fragments of psalms psalm 43.txt,181
fragments of psalms psalm 5.txt,637
fragments of psalms psalm 50.txt,906
fragments of psalms psalm 53.txt,158
fragments of psalms psalm 58.txt,406
fragments of psalms psalm 60.txt,193
fragments of psalms psalm 64.txt,186
fragments of psalms psalm 69.txt,178
fragments of psalms psalm 70.txt,228
fragments of psalms psalm 79.txt,162
fragments of psalms psalm 84.txt,140
fragments of psalms psalm 87.txt,189
fragments of psalms psalm 89.txt,583
genesis.txt,104892
guthlac a b.txt,48817
homiletic fragment i.txt,1639
homiletic fragment ii.txt,692
judith.txt,13140
juliana.txt,25677
latin-english proverbs.txt,207
maxims i.txt,8732
maxims ii.txt,2756
metrical charm 1 to restore farmland.txt,3873
metrical charm 10 for loss of cattle.txt,660
metrical charm 11 a journey charm.txt,1568
metrical charm 12 against a wen.txt,516
metrical charm 2 the nine herbs charm.txt,2925
metrical charm 3 against a dwarf.txt,874
metrical charm 4 to stop a stabbing pain.txt,1228
metrical charm 5 for loss of cattle.txt,794
metrical charm 6 charms for successful pregnancy.txt,1402
metrical charm 7 for the water-elf disease.txt,754
metrical charm 8 for a swarm of bees.txt,442
metrical charm 9 for loss of cattle.txt,782
metrical epilogue to the pastoral care.txt,1083
metrical preface to the pastoral care.txt,553
pharaoh.txt,287
precepts.txt,3427
psalm 50.txt,6308
resignation.txt,4493
riddle 1.txt,553
riddle 10.txt,382
riddle 11.txt,336
riddle 12.txt,523
riddle 13.txt,394
riddle 14.txt,695
riddle 15.txt,1026
riddle 16.txt,426
riddle 17.txt,381
riddle 18.txt,136
riddle 19.txt,264
riddle 2.txt,521
riddle 20.txt,1294
riddle 21.txt,542
riddle 22.txt,701
riddle 23.txt,583
riddle 24.txt,394
riddle 25.txt,408
riddle 26.txt,1035
riddle 27.txt,621
riddle 28.txt,468
riddle 29.txt,500
riddle 3.txt,2545
riddle 30.txt,328
riddle 30b.txt,318
