	 SP/Chars 	 Intraline/Chars 	 Intraline/SP 	 Text length 
ChristI.txt	0.00841	0.00509	0.60432	16519
Elene.txt	0.00909	0.00648	0.71205	49263
genesisA.txt	0.01089	0.00791	0.72632	8721
genesisB.txt	0.01086	0.00667	0.61406	74686
Klaeber_part1.txt	0.01504	0.00992	0.65969	82668
ChristII.txt	0.00861	0.00558	0.64748	16142
KD_2.txt	0.01059	0.00609	0.57558	32495
Klaeber_part2.txt	0.01425	0.00929	0.65179	31434
KD_1.txt	0.01201	0.00722	0.60078	85076
ILIAD.txt	0.00949	0.00235	0.24813	718637
Juliana.txt	0.00894	0.00622	0.69547	27191
ChristIII.txt	0.00761	0.00353	0.46383	30870
ODYSSEY.txt	0.00982	0.00323	0.32873	685576
